type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
application,,,,,yarn,4.10.3,,,,,,,,,,,,,,,,,
library,,Apache-2.0,@cyclonedx,Jan Kowalleck,yarn-plugin-cyclonedx,3.0.3,,,Create CycloneDX Software Bill of Materials (SBOM) from yarn projects.,git+https://github.com/CycloneDX/cyclonedx-node-yarn.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-node-yarn#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-node-yarn/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,,Apache-2.0,@cyclonedx,,cyclonedx-library,8.3.0,,,,,,https://github.com/CycloneDX/cyclonedx-javascript-library#readme,"as detected from PackageJson property ""homepage""",,,,,,,,,,
application,@mojaloop/sdk-scheme-adapter@workspace:.,Apache-2.0,@mojaloop,,sdk-scheme-adapter,24.13.0,pkg:npm/%40mojaloop/sdk-scheme-adapter@24.13.0,,mojaloop sdk-scheme-adapter,,,https://github.com/mojaloop/sdk-scheme-adapter,"as detected from PackageJson property ""homepage""",https://github.com/mojaloop/sdk-scheme-adapter/issues#readme,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2025-09-22T14:45:57.683Z
library,@types/jest@30.0.0,MIT,@types,,jest,30.0.0,pkg:npm/%40types/jest@30.0.0?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2FDefinitelyTyped%2FDefinitelyTyped.git#types/jest,,TypeScript definitions for jest,git+https://github.com/DefinitelyTyped/DefinitelyTyped.git#types/jest,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest,"as detected from PackageJson property ""homepage""",https://github.com/DefinitelyTyped/DefinitelyTyped/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2025-08-03T07:02:46.002Z
library,@types/node-cache@4.2.5,MIT,@types,,node-cache,4.2.5,pkg:npm/%40types/node-cache@4.2.5?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Fmpneuried%2Fnodecache.git,,Stub TypeScript definitions entry for node-cache~ which provides its own types definitions,git+https://github.com/mpneuried/nodecache.git,"as detected from PackageJson property ""repository.url""",https://github.com/mpneuried/nodecache#readme,"as detected from PackageJson property ""homepage""",https://github.com/mpneuried/nodecache/issues,"as detected from PackageJson property ""bugs.url""",,,,,,deprecated,"This is a stub types definition. node-cache provides its own type definitions, so you do not need this installed.",2022-06-13T01:13:56.807Z
library,@types/node@24.7.0,MIT,@types,,node,24.7.0,pkg:npm/%40types/node@24.7.0?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2FDefinitelyTyped%2FDefinitelyTyped.git#types/node,,TypeScript definitions for node,git+https://github.com/DefinitelyTyped/DefinitelyTyped.git#types/node,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node,"as detected from PackageJson property ""homepage""",https://github.com/DefinitelyTyped/DefinitelyTyped/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2025-10-06T07:33:46.739Z
library,@typescript-eslint/eslint-plugin@8.45.0,MIT,@typescript-eslint,,eslint-plugin,8.45.0,pkg:npm/%40typescript-eslint/eslint-plugin@8.45.0?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Ftypescript-eslint%2Ftypescript-eslint.git#packages/eslint-plugin,,TypeScript plugin for ESLint,git+https://github.com/typescript-eslint/typescript-eslint.git#packages/eslint-plugin,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://typescript-eslint.io/packages/eslint-plugin,"as detected from PackageJson property ""homepage""",https://github.com/typescript-eslint/typescript-eslint/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2025-10-06T13:55:34.478Z
library,@typescript-eslint/parser@8.45.0,MIT,@typescript-eslint,,parser,8.45.0,pkg:npm/%40typescript-eslint/parser@8.45.0?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Ftypescript-eslint%2Ftypescript-eslint.git#packages/parser,,An ESLint custom parser which leverages TypeScript ESTree,git+https://github.com/typescript-eslint/typescript-eslint.git#packages/parser,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://typescript-eslint.io/packages/parser,"as detected from PackageJson property ""homepage""",https://github.com/typescript-eslint/typescript-eslint/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2025-10-06T13:55:18.883Z
library,audit-ci@7.1.0,Apache-2.0,,,audit-ci,7.1.0,pkg:npm/audit-ci@7.1.0?vcs_url=git%2Bssh%3A%2F%2Fgit%40github.com%2FIBM%2Faudit-ci.git,,Audits NPM~ Yarn~ and PNPM projects in CI environments,git+ssh://git@github.com/IBM/audit-ci.git,"as detected from PackageJson property ""repository.url""",https://github.com/IBM/audit-ci,"as detected from PackageJson property ""homepage""",https://github.com/IBM/audit-ci/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2024-07-03T18:02:15.522Z
library,eslint-config-airbnb-typescript@18.0.0,MIT,,Matt Turnbull,eslint-config-airbnb-typescript,18.0.0,pkg:npm/eslint-config-airbnb-typescript@18.0.0?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Fiamturns%2Feslint-config-airbnb-typescript.git,,Airbnb's ESLint config with TypeScript support,git+https://github.com/iamturns/eslint-config-airbnb-typescript.git,"as detected from PackageJson property ""repository.url""",https://github.com/iamturns/eslint-config-airbnb-typescript,"as detected from PackageJson property ""homepage""",https://github.com/iamturns/eslint-config-airbnb-typescript/issues,"as detected from PackageJson property ""bugs.url""",,,,,matt@iamturns.com,active,Active in npm registry,2024-03-02T01:16:55.212Z
